lap,pace,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,height,weight
10.0,250.0,201.0,202.0,179.0,189.0,50.4,49.6,1.35,8.6,6.2,10.0,249.0,182.0,163.0,48.0
11.0,259.0,199.0,200.0,178.0,197.0,50.3,49.7,1.3,8.4,6.2,10.0,252.0,181.0,163.0,48.0
12.0,253.0,198.0,200.0,181.0,194.0,50.4,49.6,1.31,8.1,6.0,10.0,254.0,186.0,163.0,48.0
13.0,274.0,196.0,197.0,181.0,208.0,50.0,50.0,1.24,8.0,6.2,10.0,259.0,186.0,163.0,48.0
14.0,254.0,194.0,196.0,182.0,202.0,50.2,49.8,1.27,7.8,6.0,9.0,263.0,185.0,163.0,48.0
15.0,264.0,193.0,196.0,182.0,213.0,50.3,49.8,1.27,7.7,5.8,10.0,263.0,185.0,163.0,48.0
1.0,230.0,154.0,180.0,196.0,168.0,50.0,50.0,1.29,7.3,6.7,7.0,206.0,214.0,163.0,48.0
2.0,217.0,185.0,188.0,195.0,172.0,48.6,51.4,1.39,7.4,5.1,8.0,219.0,197.0,163.0,48.0
3.0,222.0,195.0,201.0,195.0,170.0,48.5,51.5,1.38,7.3,5.1,9.0,221.0,198.0,163.0,48.0
4.0,227.0,197.0,199.0,193.0,172.0,48.7,51.3,1.36,7.6,5.3,9.0,225.0,195.0,163.0,48.0
5.0,230.0,201.0,203.0,193.0,169.0,48.8,51.2,1.35,7.5,5.3,9.0,227.0,195.0,163.0,48.0
6.0,230.0,203.0,204.0,192.0,170.0,48.7,51.3,1.35,7.6,5.4,9.0,230.0,196.0,163.0,48.0
7.0,235.0,204.0,205.0,190.0,174.0,49.0,51.0,1.34,7.8,5.6,10.0,231.0,193.0,163.0,48.0
8.0,225.0,205.0,205.0,189.0,173.0,48.9,51.1,1.36,7.7,5.5,9.0,233.0,191.0,163.0,48.0
9.0,240.0,205.0,206.0,187.0,176.0,49.4,50.6,1.34,7.9,5.7,10.0,234.0,190.0,163.0,48.0
10.0,245.0,206.0,207.0,186.0,181.0,49.3,50.7,1.31,7.9,5.8,10.0,238.0,188.0,163.0,48.0
11.0,242.0,206.0,206.0,187.0,182.0,49.5,50.5,1.32,7.8,5.7,10.0,242.0,190.0,163.0,48.0
12.0,247.0,205.0,206.0,183.0,190.0,49.7,50.3,1.33,8.0,5.8,10.0,245.0,188.0,163.0,48.0
13.0,252.0,205.0,206.0,181.0,196.0,49.9,50.1,1.31,8.0,5.8,10.0,248.0,186.0,163.0,48.0
14.0,240.0,204.0,205.0,186.0,190.0,50.2,49.8,1.33,7.3,5.3,10.0,245.0,190.0,163.0,48.0
15.0,244.0,204.0,206.0,190.0,198.0,50.3,49.7,1.29,6.7,5.0,10.0,242.0,194.0,163.0,48.0
