lap,pace,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,height,weight
4.0,251.0,186.0,188.0,159.0,209.0,50.2,49.8,1.51,11.8,7.6,13.0,255.0,160.0,175.0,68.0
5.0,257.0,190.0,192.0,158.0,210.0,50.4,49.6,1.48,12.0,7.9,14.0,256.0,161.0,175.0,68.0
6.0,271.0,192.0,193.0,158.0,209.0,50.3,49.7,1.46,12.0,8.0,14.0,259.0,159.0,175.0,68.0
7.0,257.0,193.0,193.0,158.0,210.0,50.4,49.6,1.46,12.0,7.9,13.0,254.0,159.0,175.0,68.0
8.0,276.0,192.0,193.0,158.0,213.0,50.5,49.5,1.43,11.9,8.1,15.0,258.0,160.0,175.0,68.0
9.0,266.0,193.0,195.0,158.0,211.0,50.2,49.8,1.45,11.9,7.9,14.0,255.0,160.0,175.0,68.0
10.0,269.0,193.0,194.0,158.0,212.0,50.6,49.4,1.46,12.0,8.0,14.0,254.0,159.0,175.0,68.0
11.0,252.0,195.0,196.0,159.0,212.0,50.5,49.5,1.47,11.8,7.8,13.0,255.0,160.0,175.0,68.0
12.0,275.0,196.0,198.0,159.0,213.0,50.3,49.8,1.43,11.7,8.0,15.0,256.0,160.0,175.0,68.0
13.0,259.0,197.0,199.0,161.0,212.0,50.3,49.7,1.42,11.2,7.7,14.0,264.0,163.0,175.0,68.0
14.0,240.0,199.0,200.0,163.0,210.0,50.5,49.5,1.47,11.0,7.3,13.0,244.0,165.0,175.0,68.0
15.0,241.0,200.0,201.0,164.0,209.0,50.7,49.3,1.55,10.9,6.8,13.0,236.0,166.0,175.0,68.0
