lap,pace,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,height,weight
1.0,347.0,158.0,170.0,172.0,244.0,50.1,49.9,0.99,11.1,10.9,14.0,323.0,177.0,170.0,65.0
2.0,314.0,177.0,180.0,174.0,237.0,50.3,49.7,1.07,11.5,10.5,13.0,317.0,178.0,170.0,65.0
3.0,267.0,184.0,193.0,176.0,226.0,50.0,50.0,1.31,11.5,8.6,14.0,246.0,180.0,170.0,65.0
4.0,342.0,188.0,193.0,171.0,240.0,50.3,49.7,1.06,11.8,10.9,15.0,292.0,172.0,170.0,65.0
5.0,360.0,181.0,185.0,172.0,236.0,50.3,49.7,0.98,11.6,11.6,15.0,339.0,175.0,170.0,65.0
6.0,341.0,180.0,184.0,173.0,238.0,50.3,49.7,1.01,11.6,11.3,14.0,348.0,175.0,170.0,65.0
7.0,341.0,183.0,185.0,173.0,239.0,50.4,49.6,1.02,11.6,11.2,15.0,344.0,175.0,170.0,65.0
8.0,348.0,182.0,186.0,174.0,241.0,50.0,50.0,0.99,11.5,11.4,15.0,345.0,176.0,170.0,65.0
9.0,360.0,184.0,185.0,173.0,240.0,50.6,49.4,0.99,11.5,11.4,16.0,348.0,175.0,170.0,65.0
10.0,364.0,182.0,185.0,173.0,242.0,50.4,49.6,0.94,11.4,11.9,16.0,358.0,175.0,170.0,65.0
11.0,338.0,185.0,188.0,173.0,243.0,50.5,49.5,1.03,11.5,10.9,14.0,331.0,174.0,170.0,65.0
12.0,338.0,187.0,188.0,172.0,235.0,50.6,49.4,1.03,11.7,11.1,15.0,330.0,175.0,170.0,65.0
13.0,340.0,187.0,189.0,173.0,231.0,50.2,49.8,1.01,11.4,11.1,15.0,340.0,176.0,170.0,65.0
14.0,344.0,187.0,188.0,174.0,237.0,50.4,49.6,1.01,11.3,11.1,15.0,337.0,176.0,170.0,65.0
15.0,319.0,188.0,190.0,176.0,237.0,50.1,49.9,1.03,11.1,10.5,14.0,328.0,179.0,170.0,65.0
1.0,272.0,158.0,179.0,177.0,232.0,49.4,50.6,1.23,10.5,9.0,12.0,220.0,193.0,170.0,65.0
2.0,298.0,185.0,191.0,180.0,241.0,50.0,50.0,1.16,10.9,9.2,15.0,259.0,183.0,170.0,65.0
3.0,300.0,194.0,198.0,179.0,230.0,50.2,49.8,1.12,11.0,9.6,15.0,295.0,183.0,170.0,65.0
4.0,304.0,193.0,196.0,178.0,223.0,50.0,50.0,1.11,11.1,9.8,15.0,305.0,180.0,170.0,65.0
5.0,336.0,192.0,195.0,175.0,226.0,50.2,49.8,1.04,11.4,10.7,15.0,306.0,177.0,170.0,65.0
6.0,326.0,189.0,191.0,176.0,229.0,50.3,49.7,1.04,11.3,10.6,15.0,323.0,178.0,170.0,65.0
7.0,336.0,186.0,190.0,175.0,232.0,50.4,49.6,1.01,11.4,11.1,15.0,331.0,177.0,170.0,65.0
8.0,326.0,189.0,190.0,174.0,238.0,50.2,49.8,1.05,11.6,10.8,15.0,324.0,178.0,170.0,65.0
9.0,337.0,189.0,192.0,172.0,231.0,50.6,49.4,1.06,11.7,10.8,15.0,320.0,174.0,170.0,65.0
10.0,338.0,190.0,191.0,172.0,230.0,50.4,49.6,1.03,11.8,11.2,16.0,335.0,173.0,170.0,65.0
11.0,321.0,191.0,193.0,173.0,231.0,50.4,49.6,1.07,11.6,10.6,15.0,325.0,175.0,170.0,65.0
12.0,342.0,191.0,194.0,173.0,235.0,50.1,49.9,1.04,11.5,11.0,16.0,327.0,174.0,170.0,65.0
13.0,329.0,190.0,192.0,173.0,234.0,50.1,49.9,1.04,11.5,10.9,15.0,334.0,175.0,170.0,65.0
14.0,311.0,192.0,194.0,175.0,233.0,50.3,49.7,1.1,11.5,10.3,15.0,311.0,177.0,170.0,65.0
15.0,279.0,194.0,198.0,176.0,230.0,50.6,49.4,1.17,11.3,9.5,13.0,275.0,181.0,170.0,65.0
1.0,360.0,132.0,143.0,173.0,209.0,50.3,49.7,0.97,9.0,7.5,7.0,312.0,178.0,170.0,65.0
2.0,313.0,162.0,169.0,180.0,206.0,49.9,50.1,1.07,8.3,7.6,8.0,292.0,182.0,170.0,65.0
3.0,304.0,172.0,177.0,181.0,210.0,49.6,50.4,1.09,8.3,7.4,10.0,282.0,185.0,170.0,65.0
4.0,337.0,179.0,183.0,185.0,207.0,49.5,50.5,1.07,7.8,7.0,12.0,290.0,188.0,170.0,65.0
5.0,308.0,183.0,185.0,185.0,210.0,49.8,50.2,1.06,7.8,7.1,11.0,294.0,188.0,170.0,65.0
6.0,306.0,184.0,186.0,184.0,211.0,50.1,49.9,1.07,7.5,6.8,11.0,290.0,186.0,170.0,65.0
7.0,307.0,181.0,186.0,184.0,212.0,50.3,49.7,1.06,7.5,6.8,11.0,292.0,186.0,170.0,65.0
8.0,307.0,168.0,171.0,184.0,213.0,50.1,49.9,1.07,7.5,6.7,11.0,290.0,185.0,170.0,65.0
9.0,310.0,175.0,185.0,184.0,214.0,50.0,50.0,1.06,7.4,6.8,11.0,294.0,187.0,170.0,65.0
10.0,323.0,186.0,187.0,182.0,220.0,50.1,49.9,1.03,7.5,7.1,12.0,294.0,183.0,170.0,65.0
11.0,326.0,186.0,188.0,181.0,222.0,50.3,49.7,1.02,7.5,7.1,12.0,306.0,184.0,170.0,65.0
12.0,329.0,186.0,187.0,178.0,227.0,50.4,49.6,1.03,7.6,7.2,12.0,297.0,181.0,170.0,65.0
13.0,174.0,186.0,186.0,177.0,232.0,50.7,49.3,1.03,8.0,7.6,6.0,301.0,179.0,170.0,65.0
14.0,333.0,185.0,186.0,178.0,229.0,50.4,49.6,1.13,7.8,6.7,12.0,288.0,181.0,170.0,65.0
15.0,303.0,185.0,188.0,181.0,221.0,49.9,50.1,1.1,7.8,6.8,10.0,287.0,184.0,170.0,65.0
