lap,pace,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,height,weight
6.0,224.0,175.0,177.0,173.0,196.0,50.9,49.1,1.57,10.1,6.2,10.0,216.0,174.0,170.0,57.0
7.0,216.0,176.0,178.0,174.0,196.0,50.8,49.2,1.58,10.0,6.1,9.0,218.0,175.0,170.0,57.0
8.0,220.0,179.0,181.0,175.0,196.0,50.7,49.3,1.57,10.0,6.1,9.0,218.0,176.0,170.0,57.0
9.0,215.0,180.0,181.0,174.0,196.0,51.1,48.9,1.6,10.0,6.0,9.0,212.0,175.0,170.0,57.0
10.0,222.0,182.0,182.0,174.0,193.0,51.1,48.9,1.58,10.0,6.1,10.0,215.0,175.0,170.0,57.0
11.0,211.0,183.0,184.0,174.0,196.0,50.9,49.1,1.62,9.9,5.8,9.0,210.0,176.0,170.0,57.0
12.0,222.0,183.0,185.0,174.0,193.0,51.3,48.7,1.56,9.9,6.1,9.0,216.0,175.0,170.0,57.0
13.0,209.0,184.0,185.0,175.0,193.0,51.1,48.9,1.61,9.7,5.8,9.0,210.0,177.0,170.0,57.0
14.0,207.0,184.0,185.0,176.0,191.0,51.4,48.6,1.61,9.5,5.7,9.0,209.0,176.0,170.0,57.0
15.0,206.0,185.0,187.0,175.0,196.0,51.6,48.4,1.67,9.4,5.4,9.0,204.0,177.0,170.0,57.0
